DATE,PRCP,SNWD,SNOW,TMAX,TMIN
19260803,0,0,0,85,71
19260804,0,0,0,78,67
19260805,0,0,0,75,66
19260806,0.11,0,0,88,64
19260807,0.15,0,0,79,64
19260808,0,0,0,76,59
19260809,0,0,0,80,55
19260810,0.01,0,0,83,62
19260811,0.13,0,0,82,69
19260812,0.46,0,0,75,65
19260813,0.76,0,0,85,68
19260814,0.12,0,0,72,66
19260815,0,0,0,74,64
19260816,0,0,0,82,62
19260817,0,0,0,78,67
19260818,0,0,0,68,62
19260819,0,0,0,65,60
19260820,0.03,0,0,71,58
19260821,1.38,0,0,64,54
19260822,0.1,0,0,75,59
19260823,0.18,0,0,84,62
19260824,0.05,0,0,78,64
19260825,0,0,0,71,58
19260826,0.02,0,0,79,54
19260827,0.01,0,0,76,63
19260828,0,0,0,85,61
19260829,0,0,0,81,62
19260830,0,0,0,72,57
19260831,0,0,0,68,52
19260901,0,0,0,76,50
19260902,0,0,0,65,57
19260903,0,0,0,62,57
19260904,0.59,0,0,64,55
19260905,1.14,0,0,74,56
19260906,0.1,0,0,79,63
19260907,0,0,0,69,57
19260908,0,0,0,80,52
19260909,0.2,0,0,75,54
19260910,0,0,0,69,47
19260911,0,0,0,75,50
19260912,0.01,0,0,69,56
19260913,0,0,0,57,51
19260914,0,0,0,63,45
19260915,0.27,0,0,74,57
19260916,0.2,0,0,69,58
19260917,0,0,0,60,56
19260918,0,0,0,78,55
19260919,0,0,0,83,60
19260920,0,0,0,70,58
19260921,0,0,0,65,53
19260922,0,0,0,80,57
19260923,0.15,0,0,69,56
19260924,1.21,0,0,82,67
19260925,0.21,0,0,67,48
19260926,0,0,0,52,43
19260927,0.02,0,0,56,42
19260928,0.04,0,0,56,47
19260929,0,0,0,63,41
19260930,0,0,0,65,52
19261001,0.26,0,0,67,48
19261002,0.03,0,0,74,59
19261003,0,0,0,73,54
19261004,0,0,0,89,63
19261005,1.02,0,0,75,58
19261006,0.19,0,0,58,49
19261007,0.04,0,0,53,44
19261008,0,0,0,46,42
19261009,0.02,0,0,51,42
19261010,0.26,0,0,50,43
19261011,0,0,0,56,43
19261012,0,0,0,70,40
19261013,0.04,0,0,60,44
19261014,0,0,0,65,39
19261015,0,0,0,51,40
19261016,0.14,0,0,61,40
19261017,0.07,0,0,51,35
19261018,0.36,0,0,52,35
19261019,0.01,0,0,45,38
19261020,0.3,0,0,39,33
19261021,0,0,0,49,33
19261022,0.28,0,0,49,42
19261023,0,0,0,51,40
19261024,0.58,0,0,57,41
19261025,0.26,0,0,45,36
19261026,0,0,0,42,34
19261027,0,0,0,48,33
19261028,0.01,0,0,59,36
19261029,0.05,0,0,56,44
19261030,0.43,0,0,48,41
19261031,0.07,0,0,43,33
19261101,0.01,0,0,48,31
19261102,0.05,0,0,45,34
19261103,0,0,0,38,29
19261104,0,0,0,42,28
19261105,0.19,0,0.2,42,33
19261106,0,0,0,55,33
19261107,0,0,0,50,45
19261108,0,0,0,63,41
19261109,0.28,0,0,65,50
19261110,0.08,1,0.8,50,23
19261111,0.02,0,0.2,31,23
19261112,0,0,0,38,25
19261113,0,0,0,54,38
19261114,0,0,0,62,42
19261115,0,0,0,67,55
19261116,0.88,0,0,66,42
19261117,0,0,0,51,39
19261118,0.46,0,0,50,37
19261119,0.06,0,0,37,31
19261120,0.1,0,1.3,32,30
19261121,0,0,0,33,28
19261122,0.03,0,0,36,28
19261123,0.05,0,0.6,37,30
19261124,0.01,0,0,42,30
19261125,0,0,0,41,29
19261126,0.03,0,0,55,41
19261127,0.08,0,0.3,45,19
19261128,0,0,0,40,19
19261129,0.05,0,0,46,38
19261130,0,0,0,38,35
19261201,0.04,0,0,40,18
19261202,0.05,1,1.1,18,12
19261203,0.11,1,1,31,13
19261204,0.16,3,1.8,31,5
19261205,0.63,9,5.5,18,3
19261206,0.07,10,1.5,16,10
19261207,0.2,9,0,32,4
19261208,0.17,6,0,38,28
19261209,0,6,0,33,26
19261210,0,5,0,35,25
19261211,0.03,4,0.3,35,25
19261212,0,3,0,36,22
19261213,0.01,1,0,49,35
19261214,0,0,0,41,18
19261215,0.01,0,0.1,20,12
19261216,0.03,0,0.2,19,9
19261217,0.07,2,1.8,21,9
19261218,0.01,2,0.2,13,6
19261219,0.05,2,0,22,11
19261220,0.22,3,3.5,40,20
19261221,0,1,0,39,35
19261222,0,1,0,36,26
19261223,0,1,0,32,21
19261224,0,0,0,41,30
19261225,0,0,0,36,28
19261226,0.59,7,7.5,28,16
19261227,0,5,0,35,15
19261228,0.21,6,0.1,36,31
19261229,0.15,8,2.5,31,25
19261230,0,7,0,27,21
19261231,0.06,7,0.5,35,27
19270101,0.04,8,1,32,17
19270102,0.04,7,0.5,28,10
19270103,0,6,0.1,32,27
19270104,0.33,7,2,35,31
19270105,0.07,8,0.7,34,22
19270106,0.29,12,5,24,19
19270107,0.04,12,1,20,11
19270108,0,12,0,23,7
19270109,0,10,0,22,0
19270110,0.08,13,2.5,22,15
19270111,0.03,13,0.5,20,11
19270112,0,12,0,30,16
19270113,0,10,0,37,26
19270114,0.07,9,0.4,35,13
19270115,0.12,12,3.3,13,5
19270116,0.02,11,0,18,-1
19270117,0.03,11,0.5,31,17
19270118,0.22,11,1,34,28
19270119,0.05,8,0.8,47,34
19270120,0,7,0,36,32
19270121,0,6,0,44,31
19270122,0,5,0,46,21
19270123,0.12,6,1,22,17
19270124,0,5,0,29,17
19270125,0.01,5,0,30,20
19270126,0.04,5,0.8,20,-3
19270127,0,5,0,26,-7
19270128,0.04,4,0.2,39,25
19270129,0.05,3,0,45,37
19270130,0.06,0,0,50,31
19270131,0.03,0,0.4,31,25
19270201,0.05,0,0,41,25
19270202,0.01,0,0.1,40,26
19270203,0.03,0,0,48,26
19270204,0,0,0,28,18
19270205,0.03,0,0,31,16
19270206,0.06,0,0,38,31
19270207,0,0,0,36,27
19270208,0,0,0,39,28
19270209,0,0,0,37,32
19270210,0,0,0,34,25
19270211,0,0,0,36,25
19270212,0,0,0,34,22
19270213,0.18,1,0.5,26,19
19270214,0.46,3,5,42,24
19270215,0,3,0,35,30
19270216,0.56,1,0,44,30
19270217,0.03,0,0,42,32
19270218,0.16,0,0.5,39,21
19270219,0,0,0,22,18
19270220,1.09,8,8,21,16
19270221,0.09,9,2,25,20
19270222,0.09,6,0,42,19
19270223,0,2,0,51,37
19270224,0.01,1,0,48,32
19270225,0.08,1,0,47,35
19270226,0.43,3,2.5,36,26
19270227,0.22,5,3.2,30,24
19270228,0,4,0,30,26
19270301,0,3,0,27,14
19270302,0,3,0,29,13
19270303,0.01,3,0.1,25,17
19270304,0,2,0,36,16
19270305,0,1,0,41,26
19270306,0,1,0,41,37
19270307,0.13,0,0,48,36
19270308,0,0,0,47,33
19270309,0,0,0,38,27
19270310,0,0,0,52,26
19270311,0,0,0,70,42
19270312,0,0,0,65,46
19270313,0,0,0,70,53
19270314,0.34,0,0,60,38
19270315,0,0,0,42,37
19270316,0,0,0,61,36
19270317,0,0,0,76,44
19270318,0.21,0,0,59,41
19270319,0,0,0,53,35
19270320,0.24,1,1.2,35,31
19270321,0.28,0,0,36,33
19270322,0.11,0,0.8,35,27
19270323,0,0,0,33,25
19270324,0,0,0,41,29
19270325,0,0,0,44,33
19270326,0.39,2,2.5,38,33
19270327,0,0,0.1,44,32
19270328,0,0,0,41,32
19270329,0,0,0,42,28
19270330,0.1,0,0,54,34
19270331,0,0,0,44,35
19270401,0.03,0,0.1,38,32
19270402,0.04,0,0.4,41,33
19270403,0.01,0,0,42,33
19270404,0,0,0,49,37
19270405,0.27,0,0,44,36
19270406,0.12,0,0,61,35
19270407,0,0,0,39,29
19270408,0,0,0,37,28
19270409,0,0,0,46,31
19270410,0,0,0,45,34
19270411,0,0,0,54,34
19270412,0,0,0,56,38
19270413,0,0,0,43,33
19270414,0,0,0,48,31
19270415,0,0,0,60,32
19270416,0.13,0,0,69,45
19270417,0,0,0,68,53
19270418,0,0,0,84,53
19270419,0.04,0,0,82,61
19270420,0,0,0,70,44
19270421,0.37,0,0,79,41
19270422,0,0,0,46,35
19270423,0.01,0,0,42,32
19270424,0,0,0,44,29
19270425,0.01,0,0,49,33
19270426,0.16,0,0,52,40
19270427,0,0,0,52,38
19270428,0,0,0,57,34
19270429,0,0,0,50,34
19270430,0,0,0,56,36
19270501,0,0,0,61,38
19270502,0,0,0,54,44
19270503,0.04,0,0,54,39
19270504,0.58,0,0,69,49
19270505,0,0,0,60,49
19270506,0,0,0,62,45
19270507,0,0,0,62,44
19270508,0,0,0,68,47
19270509,0.64,0,0,70,46
19270510,0.13,0,0,78,53
19270511,0.02,0,0,59,47
19270512,0.02,0,0,51,45
19270513,0,0,0,57,46
19270514,0.06,0,0,60,47
19270515,0.17,0,0,56,47
19270516,0.03,0,0,54,45
19270517,0.01,0,0,60,48
19270518,0.1,0,0,62,50
19270519,0.21,0,0,57,46
19270520,0.04,0,0,61,46
19270521,0.03,0,0,66,51
19270522,0,0,0,87,57
19270523,1.2,0,0,72,51
19270524,0.08,0,0,59,47
19270525,0.28,0,0,69,57
19270526,0.23,0,0,65,45
19270527,0,0,0,57,40
19270528,0,0,0,65,41
19270529,0.01,0,0,67,44
19270530,0,0,0,73,54
19270531,0.02,0,0,68,46
19270601,0,0,0,62,46
19270602,0,0,0,66,43
19270603,0,0,0,70,48
19270604,0.21,0,0,65,54
19270605,0.01,0,0,58,47
19270606,0,0,0,66,42
19270607,0,0,0,69,46
19270608,0,0,0,77,52
19270609,0.01,0,0,80,61
19270610,0,0,0,84,60
19270611,0,0,0,71,51
19270612,0,0,0,66,52
19270613,0,0,0,66,46
19270614,0,0,0,65,54
19270615,0,0,0,65,49
19270616,0,0,0,68,45
19270617,0,0,0,74,46
19270618,0,0,0,76,58
19270619,0.25,0,0,64,59
19270620,0,0,0,71,60
19270621,0,0,0,85,59
19270622,0.02,0,0,82,69
19270623,0.12,0,0,77,57
19270624,0,0,0,65,51
19270625,0.63,0,0,83,57
19270626,0,0,0,68,55
19270627,0,0,0,74,47
19270628,0,0,0,79,54
19270629,0,0,0,85,66
19270630,0,0,0,92,71
19270701,0.1,0,0,87,71
19270702,0,0,0,83,68
19270703,0.03,0,0,73,54
19270704,0,0,0,67,48
19270705,0,0,0,75,51
19270706,0.02,0,0,65,56
19270707,0.36,0,0,68,58
19270708,0,0,0,76,55
19270709,0,0,0,80,55
19270710,0,0,0,83,64
19270711,0.17,0,0,86,66
19270712,0,0,0,89,70
19270713,0,0,0,94,70
19270714,0.25,0,0,80,70
19270715,0.18,0,0,81,70
19270716,0.01,0,0,80,66
19270717,0.02,0,0,89,62
19270718,0,0,0,75,57
19270719,0.01,0,0,79,57
19270720,0,0,0,72,60
19270721,0,0,0,82,60
19270722,0.31,0,0,72,66
19270723,0.15,0,0,76,63
19270724,0.04,0,0,72,61
19270725,0,0,0,83,64
19270726,0,0,0,82,61
19270727,0.39,0,0,81,64
19270728,0.26,0,0,87,63
19270729,0.09,0,0,78,65
19270730,0,0,0,78,60
19270731,0.86,0,0,74,57
19270801,0.67,0,0,83,63
19270802,0,0,0,68,55
19270803,0,0,0,72,51
19270804,0,0,0,77,54
19270805,0.03,0,0,71,57
19270806,0,0,0,78,52
19270807,0.02,0,0,88,57
19270808,0.6,0,0,78,63
19270809,0,0,0,69,55
19270810,0,0,0,73,52
19270811,0,0,0,80,56
19270812,0,0,0,82,58
19270813,0,0,0,76,62
19270814,0,0,0,76,62
19270815,0,0,0,68,54
19270816,0,0,0,73,53
19270817,0,0,0,72,53
19270818,0.01,0,0,73,58
19270819,0.05,0,0,68,59
19270820,0,0,0,73,60
19270821,0.11,0,0,78,61
19270822,0.12,0,0,85,59
19270823,0.06,0,0,82,57
19270824,0.01,0,0,67,55
19270825,0,0,0,73,48
19270826,0,0,0,69,50
19270827,0.1,0,0,64,58
19270828,0.55,0,0,65,56
19270829,0.2,0,0,64,57
19270830,0.12,0,0,70,58
19270831,0.04,0,0,68,59
19270901,0.03,0,0,72,60
19270902,0.21,0,0,77,63
19270903,0.01,0,0,82,60
19270904,0,0,0,73,60
19270905,0,0,0,72,52
19270906,0,0,0,84,54
19270907,0,0,0,83,61
19270908,0,0,0,68,55
19270909,0,0,0,78,47
19270910,0,0,0,83,60
19270911,0,0,0,70,60
19270912,0,0,0,76,53
19270913,0.02,0,0,70,57
19270914,0,0,0,74,57
19270915,0.01,0,0,80,61
19270916,0,0,0,71,58
19270917,0,0,0,76,58
19270918,0.01,0,0,82,62
19270919,0,0,0,66,55
19270920,0.02,0,0,71,48
19270921,0,0,0,63,44
19270922,0,0,0,63,44
19270923,0,0,0,61,47
19270924,0,0,0,71,41
19270925,0,0,0,79,57
19270926,0,0,0,81,55
19270927,0,0,0,59,53
19270928,0.15,0,0,77,55
19270929,0.05,0,0,84,62
19270930,0,0,0,81,67
19271001,0.63,0,0,82,61
19271002,0,0,0,87,66
19271003,0.64,0,0,81,65
19271004,0.03,0,0,65,54
19271005,0,0,0,75,50
19271006,0,0,0,82,58
19271007,0.73,0,0,75,49
19271008,0,0,0,53,42
19271009,0,0,0,61,38
19271010,0,0,0,52,42
19271011,0,0,0,73,40
19271012,0.42,0,0,72,55
19271013,0,0,0,56,47
19271014,0,0,0,53,43
19271015,0,0,0,58,40
19271016,0,0,0,54,45
19271017,0.07,0,0,49,39
19271018,0.14,0,0,51,47
19271019,1.33,0,0,55,48
19271020,0.88,0,0,59,51
19271021,0.04,0,0,53,44
19271022,0.03,0,0,53,42
19271023,0,0,0,55,40
19271024,0,0,0,62,37
19271025,0,0,0,58,41
19271026,0,0,0,72,44
19271027,0,0,0,76,47
19271028,0,0,0,75,51
19271029,0,0,0,51,44
19271030,0,0,0,54,36
19271031,0,0,0,73,49
19271101,0,0,0,74,59
19271102,0.37,0,0,70,44
19271103,0.52,0,0,45,39
19271104,0.07,0,0,42,37
19271105,0.02,0,0,41,34
19271106,0.05,0,0,36,29
19271107,0.01,0,0.1,35,30
19271108,0,0,0,34,28
19271109,0,0,0,42,30
19271110,0.04,0,0,52,34
19271111,0.03,0,0,71,52
19271112,0.07,0,0,67,32
19271113,0,0,0,44,29
19271114,0.03,0,0,58,35
19271115,0,0,0,70,55
19271116,0.58,0,0,63,44
19271117,1.6,0,0,44,31
19271118,0.04,0,0.1,31,27
19271119,0.02,0,0.3,29,25
19271120,0,0,0,38,24
19271121,0.01,0,0,45,38
19271122,0.01,0,0,61,45
19271123,0.16,0,0,62,37
19271124,0.46,0,0,41,32
19271125,0,0,0,42,32
19271126,0.23,0,0,58,36
19271127,0.88,0,0,57,36
19271128,0.27,0,0,53,29
19271129,0.13,0,0,57,48
19271130,1.52,0,0,59,33
19271201,0,0,0.8,34,27
19271202,0,0,0,38,27
19271203,0.02,0,0.3,31,18
19271204,0.01,0,0,21,12
19271205,0.01,0,0.2,38,20
19271206,0,0,0,41,34
19271207,0.07,0,0,52,36
19271208,0.11,0,0.6,56,14
19271209,0,0,0,18,9
19271210,0,0,0,37,15
19271211,0.05,0,0,42,32
19271212,0,0,0,43,36
19271213,0.38,0,0,59,38
19271214,0.26,0,0,49,33
19271215,0.07,0,0,36,27
19271216,0.96,1,0.7,41,22
19271217,0.01,1,0.1,26,20
19271218,0,1,0,20,14
19271219,0.2,4,3.5,25,14
19271220,0.1,5,2.5,27,23
19271221,0.01,5,0.1,28,23
19271222,0,3,0,35,28
19271223,0.24,6,3,30,15
19271224,0.03,7,1.5,15,10
19271225,0,6,0,22,7
19271226,0.01,5,0.1,26,15
19271227,0,4,0,39,21
19271228,0,2,0,43,29
19271229,0.04,0,0,49,42
19271230,0.19,0,0,46,40
19271231,0.3,0,0,49,30
19280101,0.1,1,0.5,30,10
19280102,0.02,1,0.7,17,10
19280103,0,1,0,17,9
19280104,0.01,1,0,22,11
19280105,0.06,1,1.2,28,16
19280106,0,1,0,44,28
19280107,0,1,0,48,41
19280108,0.01,0,0,41,36
19280109,0.01,0,0,36,34
19280110,0,0,0,41,34
19280111,0,0,0,44,33
19280112,0,0,0,45,32
19280113,0.03,0,0,46,38
19280114,0.15,0,0,52,36
19280115,0,0,0,52,19
19280116,0.3,0,0.2,37,14
19280117,0.08,0,0.3,35,31
19280118,0,0,0,36,34
19280119,0.21,0,0,44,31
19280120,0.04,0,0.2,38,9
19280121,0.1,1,1,16,8
19280122,0,1,0,37,13
19280123,0,0,0,37,29
19280124,0.19,0,0,46,29
19280125,0.55,7,6.5,39,17
19280126,0.11,8,1.5,23,11
19280127,0,6,0,23,10
19280128,0.03,6,0.2,20,14
19280129,0.03,6,0.5,18,9
19280130,0,5,0,18,3
19280131,0,5,0,25,12
19280201,0,4,0,31,17
19280202,0.01,4,0.2,20,14
19280203,0,3,0,37,17
19280204,0,1,0,49,29
19280205,0,1,0,29,15
19280206,0,0,0,28,8
19280207,0.35,0,0,42,24
19280208,0.21,0,0,54,38
19280209,0.17,0,0.3,41,28
19280210,0.02,1,0.4,30,24
19280211,0,0,0,30,26
19280212,0.02,1,0.5,29,15
19280213,0,1,0,43,12
19280214,0.66,0,0,44,35
19280215,0.2,0,0,38,32
19280216,0.01,0,0.1,34,30
19280217,0.01,0,0.1,39,28
19280218,0.27,3,3.2,34,11
19280219,0.04,3,0.8,27,6
19280220,0.06,3,1.2,28,9
19280221,0,3,0.1,17,6
19280222,0.01,1,0,42,14
19280223,0.08,0,0,44,28
19280224,0,0,0,28,14
19280225,0.09,1,1.2,14,2
19280226,0.01,1,0,24,2
19280227,0,0,0.1,34,24
19280228,0,0,0,36,20
19280229,0.01,0,0.1,39,31
19280301,0.01,0,0.1,33,24
19280302,0.18,2,2,33,19
19280303,0.16,4,2.3,20,12
19280304,0.22,4,2,43,14
19280305,0.08,5,1.7,21,12
19280306,0.06,5,1.3,24,15
19280307,0.03,4,0.4,37,20
19280308,0.01,3,0.2,30,21
19280309,0.93,10,7.5,26,20
19280310,0.03,7,0.6,25,18
19280311,0,4,0,44,17
19280312,0,2,0,52,37
19280313,0,0,0,62,37
19280314,0.05,0,0,50,33
19280315,0.03,0,0.3,33,26
19280316,0,0,0,29,24
19280317,0,0,0,33,24
19280318,0.98,8,8,30,27
19280319,0.1,9,2,32,26
19280320,0.01,6,0.1,36,26
19280321,0,3,0,42,25
19280322,0.02,1,0,44,34
19280323,0,0,0,42,27
19280324,0.1,0,0,72,37
19280325,0,0,0,56,40
19280326,0.32,0,0,70,48
19280327,0.05,0,0.1,55,19
19280328,0.02,0,0.3,33,23
19280329,0,0,0,36,24
19280330,0.1,0,0.2,35,25
19280331,0.06,0,1,34,24
19280401,0,0,0,42,27
19280402,0,0,0,55,30
19280403,0,0,0,67,44
19280404,0,0,0,76,53
19280405,0,0,0,81,58
19280406,0,0,0,83,57
19280407,0.39,0,0,77,49
19280408,0.06,0,0.2,49,28
19280409,0,0,0,32,25
19280410,0,0,0,37,24
19280411,0,0,0,52,28
19280412,0,0,0,54,38
19280413,0,0,0,48,36
19280414,0.49,0,0,60,32
19280415,0.01,0,0.1,32,25
19280416,0,0,0,39,23
19280417,0,0,0,42,29
19280418,0,0,0,60,29
19280419,0.08,0,0,62,29
19280420,0,0,0,41,26
19280421,0.72,1,1,45,32
19280422,0.21,0,0.2,41,34
19280423,0.01,0,0,43,36
19280424,0.05,0,0,48,36
19280425,0.01,0,0.1,46,31
19280426,0.02,0,0,49,35
19280427,0,0,0,45,32
19280428,0.44,0,0.4,40,33
19280429,0.1,0,1,50,33
19280430,0.01,0,0,62,40
19280501,0,0,0,58,46
19280502,0,0,0,65,42
19280503,0,0,0,70,47
19280504,0,0,0,86,60
19280505,0,0,0,84,44
19280506,0,0,0,54,37
19280507,0,0,0,53,34
19280508,0,0,0,61,36
19280509,0,0,0,66,44
19280510,0,0,0,78,48
19280511,0,0,0,69,43
19280512,0,0,0,49,38
19280513,0,0,0,58,35
19280514,0,0,0,59,38
19280515,0,0,0,69,44
19280516,0,0,0,76,53
19280517,0.07,0,0,72,57
19280518,0,0,0,74,60
19280519,1.66,0,0,67,61
19280520,0,0,0,75,59
19280521,0,0,0,72,55
19280522,0,0,0,75,53
19280523,0,0,0,58,47
19280524,0,0,0,59,43
19280525,0,0,0,59,45
19280526,0,0,0,59,46
19280527,0.22,0,0,59,46
19280528,0.59,0,0,60,47
19280529,0.02,0,0,59,46
19280530,0,0,0,65,48
19280531,0,0,0,65,47
19280601,0.06,0,0,75,52
19280602,0,0,0,63,47
19280603,0,0,0,64,42
19280604,0.4,0,0,57,46
19280605,0.2,0,0,54,49
19280606,0.7,0,0,55,50
19280607,0.06,0,0,70,52
19280608,0.01,0,0,76,49
19280609,0.02,0,0,74,52
19280610,0,0,0,59,48
19280611,0,0,0,73,47
19280612,0,0,0,80,52
19280613,0.23,0,0,91,65
19280614,0.03,0,0,72,58
19280615,0,0,0,66,48
19280616,0,0,0,69,46
19280617,0,0,0,77,52
19280618,0.2,0,0,74,60
19280619,0.16,0,0,67,54
19280620,0,0,0,77,61
19280621,0.77,0,0,72,63
19280622,0.02,0,0,80,63
19280623,0.16,0,0,79,65
19280624,0.15,0,0,75,63
19280625,0.67,0,0,81,63
19280626,0,0,0,73,61
19280627,0.05,0,0,74,57
19280628,0,0,0,81,59
19280629,0.56,0,0,75,63
19280630,0.18,0,0,75,60
19280701,0,0,0,83,60
19280702,0,0,0,82,64
19280703,0.03,0,0,90,65
19280704,0,0,0,85,70
19280705,0,0,0,73,64
19280706,0,0,0,78,60
19280707,0,0,0,88,59
19280708,0,0,0,94,69
19280709,0.01,0,0,92,73
19280710,0,0,0,84,71
19280711,0,0,0,82,69
19280712,0,0,0,78,60
19280713,0.5,0,0,75,62
